Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.
22.04.2024,105.85,106.6,107.3,105.5,635.54K,0.00%
19.04.2024,105.85,105.3,106.5,104.6,1.03M,-1.03%
18.04.2024,106.95,106.05,107.45,105.95,622.17K,0.94%
17.04.2024,105.95,106.4,107.25,105.7,664.96K,-0.47%
16.04.2024,106.45,107.9,108,105.6,1.36M,-2.96%
15.04.2024,109.7,109.9,111.75,109.55,1.02M,0.18%
12.04.2024,109.5,112.5,112.6,108.65,1.28M,-2.14%
11.04.2024,111.9,111.5,112.45,110.6,1.09M,0.36%
10.04.2024,111.5,114.65,115.35,111.35,1.25M,-2.06%
09.04.2024,113.85,114.15,114.8,113.45,763.29K,-0.78%
08.04.2024,114.75,113.2,114.75,112.75,827.53K,2.00%
05.04.2024,112.5,112.8,113.55,111.9,1.14M,-1.92%
04.04.2024,114.7,111.9,115.25,111.75,1.79M,2.55%
03.04.2024,111.85,106.95,111.95,106.6,1.83M,4.88%
02.04.2024,106.65,107.2,107.8,105.8,1.08M,-0.29%
28.03.2024,106.96,106.34,107.18,106.34,785.75K,0.75%
27.03.2024,106.16,105.5,106.52,104.66,816.35K,-0.38%
26.03.2024,106.56,106.6,106.76,105.54,758.87K,0.30%
25.03.2024,106.24,104.4,106.24,104.4,1.06M,2.04%
22.03.2024,104.12,103.92,104.62,102.84,1.30M,-0.65%
21.03.2024,104.8,107,107.1,104.38,1.51M,-1.47%
20.03.2024,106.36,107.08,107.34,105.68,704.22K,-0.71%
19.03.2024,107.12,106.2,107.4,105.98,864.98K,1.08%
18.03.2024,105.98,106.1,107.22,104.86,760.28K,0.28%
15.03.2024,105.68,105.4,107.3,104.88,2.68M,0.46%
14.03.2024,105.2,108.46,110.42,104.9,1.99M,-3.04%
13.03.2024,108.5,110,110.36,108.5,893.55K,-1.17%
12.03.2024,109.78,106.9,110.22,106.64,1.36M,2.71%
11.03.2024,106.88,106.62,107.3,106.12,778.39K,-0.24%
08.03.2024,107.14,107.14,107.84,106.48,773.83K,0.17%
07.03.2024,106.96,107.04,107.48,106.06,974.77K,-0.69%
06.03.2024,107.7,109.3,109.5,107.38,1.05M,-1.52%
05.03.2024,109.36,109.72,109.72,107.84,661.44K,-0.53%
04.03.2024,109.94,109.44,109.98,109,625.52K,0.13%
01.03.2024,109.8,109.98,110.96,107.68,1.12M,0.53%
29.02.2024,109.22,109.5,110.32,109,1.38M,0.05%
28.02.2024,109.16,108,109.16,107.62,757.83K,1.37%
27.02.2024,107.68,107.64,108.82,107.42,699.54K,0.19%
26.02.2024,107.48,107,107.74,106.22,824.69K,0.71%
23.02.2024,106.72,105.3,107.36,105.18,840.75K,1.56%
